Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,0.25,0.000215,0.000304,0.000152,563,796,398,560,800,400
Ant-v4,0.5,0.000177,0.00025,0.000125,436,617,309,432,624,304
Ant-v4,1.0,0.000146,0.000206,0.000103,338,479,239,336,480,240
Ant-v4,2.0,0.000121,0.000172,8.59e-05,266,377,188,272,384,192
Ant-v4,4.0,0.0001,0.000142,7.08e-05,207,292,146,208,288,144
Ant-v4,8.0,8.34e-05,0.000118,5.9e-05,163,230,115,160,224,112
Ant-v4,16.0,6.95e-05,9.83e-05,4.92e-05,128,181,91,128,176,96
HalfCheetah-v4,0.25,0.00267,0.00377,0.00189,563,796,398,560,800,400
HalfCheetah-v4,0.5,0.0022,0.00311,0.00155,436,617,309,432,624,304
HalfCheetah-v4,1.0,0.00181,0.00256,0.00128,338,479,239,336,480,240
HalfCheetah-v4,2.0,0.00151,0.00213,0.00107,266,377,188,272,384,192
HalfCheetah-v4,4.0,0.00124,0.00176,0.000879,207,292,146,208,288,144
HalfCheetah-v4,8.0,0.00104,0.00147,0.000733,163,230,115,160,224,112
HalfCheetah-v4,16.0,0.000864,0.00122,0.000611,128,181,91,128,176,96
Humanoid-v4,0.25,0.000276,0.000391,0.000195,563,796,398,560,800,400
Humanoid-v4,0.5,0.000228,0.000322,0.000161,436,617,309,432,624,304
Humanoid-v4,1.0,0.000188,0.000265,0.000133,338,479,239,336,480,240
Humanoid-v4,2.0,0.000156,0.000221,0.000111,266,377,188,272,384,192
Humanoid-v4,4.0,0.000129,0.000182,9.11e-05,207,292,146,208,288,144
Humanoid-v4,8.0,0.000107,0.000152,7.6e-05,163,230,115,160,224,112
Humanoid-v4,16.0,8.95e-05,0.000127,6.33e-05,128,181,91,128,176,96
Walker2d-v4,0.25,0.00123,0.00173,0.000867,563,796,398,560,800,400
Walker2d-v4,0.5,0.00101,0.00143,0.000714,436,617,309,432,624,304
Walker2d-v4,1.0,0.000833,0.00118,0.000589,338,479,239,336,480,240
Walker2d-v4,2.0,0.000694,0.000981,0.000491,266,377,188,272,384,192
Walker2d-v4,4.0,0.000572,0.000809,0.000404,207,292,146,208,288,144
Walker2d-v4,8.0,0.000477,0.000674,0.000337,163,230,115,160,224,112
Walker2d-v4,16.0,0.000397,0.000562,0.000281,128,181,91,128,176,96
