Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,0.25,0.000223,0.000316,0.000158,554,783,392,560,784,384
Ant-v4,0.5,0.000182,0.000258,0.000129,431,609,305,432,608,304
Ant-v4,1.0,0.000149,0.00021,0.000105,335,474,237,336,480,240
Ant-v4,2.0,0.000123,0.000173,8.67e-05,264,374,187,256,368,192
Ant-v4,4.0,0.0001,0.000142,7.08e-05,206,291,145,208,288,144
Ant-v4,8.0,8.27e-05,0.000117,5.84e-05,162,230,115,160,224,112
Ant-v4,16.0,6.82e-05,9.65e-05,4.83e-05,128,181,91,128,176,96
HalfCheetah-v4,0.25,0.00278,0.00393,0.00196,554,783,392,560,784,384
HalfCheetah-v4,0.5,0.00227,0.0032,0.0016,431,609,305,432,608,304
HalfCheetah-v4,1.0,0.00185,0.00261,0.00131,335,474,237,336,480,240
HalfCheetah-v4,2.0,0.00153,0.00216,0.00108,264,374,187,256,368,192
HalfCheetah-v4,4.0,0.00125,0.00176,0.000881,206,291,145,208,288,144
HalfCheetah-v4,8.0,0.00103,0.00145,0.000727,162,230,115,160,224,112
HalfCheetah-v4,16.0,0.000849,0.0012,0.000601,128,181,91,128,176,96
Humanoid-v4,0.25,0.000283,0.0004,0.0002,554,783,392,560,784,384
Humanoid-v4,0.5,0.000231,0.000326,0.000163,431,609,305,432,608,304
Humanoid-v4,1.0,0.000188,0.000266,0.000133,335,474,237,336,480,240
Humanoid-v4,2.0,0.000155,0.00022,0.00011,264,374,187,256,368,192
Humanoid-v4,4.0,0.000127,0.000179,8.97e-05,206,291,145,208,288,144
Humanoid-v4,8.0,0.000105,0.000148,7.41e-05,162,230,115,160,224,112
Humanoid-v4,16.0,8.65e-05,0.000122,6.12e-05,128,181,91,128,176,96
Walker2d-v4,0.25,0.00122,0.00173,0.000865,554,783,392,560,784,384
Walker2d-v4,0.5,0.000998,0.00141,0.000706,431,609,305,432,608,304
Walker2d-v4,1.0,0.000814,0.00115,0.000576,335,474,237,336,480,240
Walker2d-v4,2.0,0.000672,0.000951,0.000475,264,374,187,256,368,192
Walker2d-v4,4.0,0.000549,0.000776,0.000388,206,291,145,208,288,144
Walker2d-v4,8.0,0.000453,0.000641,0.00032,162,230,115,160,224,112
Walker2d-v4,16.0,0.000374,0.000529,0.000264,128,181,91,128,176,96
