Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.00215,249,0.00304,0.00152,353,176,256,352,176
cartpole-swingup,0.5,0.00149,271,0.0021,0.00105,384,192,272,384,192
cartpole-swingup,1.0,0.00103,295,0.00145,0.000727,417,208,288,416,208
cartpole-swingup,2.0,0.000711,320,0.00101,0.000503,453,226,320,448,224
cartpole-swingup,4.0,0.000492,348,0.000696,0.000348,493,246,352,496,240
cartpole-swingup,8.0,0.00034,379,0.000481,0.000241,536,268,384,544,272
cartpole-swingup,16.0,0.000235,412,0.000333,0.000166,582,291,416,576,288
cheetah-run,0.25,0.000566,779,0.000801,0.0004,1102,551,784,1104,544
cheetah-run,0.5,0.000549,623,0.000776,0.000388,881,440,624,880,448
cheetah-run,1.0,0.000532,498,0.000752,0.000376,704,352,496,704,352
cheetah-run,2.0,0.000515,398,0.000729,0.000364,563,281,400,560,288
cheetah-run,4.0,0.000499,318,0.000706,0.000353,450,225,320,448,224
cheetah-run,8.0,0.000484,254,0.000684,0.000342,360,180,256,352,176
cheetah-run,16.0,0.000469,203,0.000663,0.000332,287,143,208,288,144
dog-stand,0.25,0.000632,563,0.000893,0.000447,796,398,560,800,400
dog-stand,0.5,0.000535,316,0.000757,0.000379,447,223,320,448,224
dog-stand,1.0,0.000454,177,0.000642,0.000321,251,125,176,256,128
dog-stand,2.0,0.000385,99,0.000544,0.000272,141,70,96,144,64
dog-stand,4.0,0.000326,56,0.000461,0.00023,79,39,64,80,32
dog-stand,8.0,0.000276,31,0.000391,0.000195,44,22,32,48,16
dog-stand,16.0,0.000234,17,0.000331,0.000166,25,12,16,32,16
finger-spin,0.25,0.00113,632,0.0016,0.000799,894,447,640,896,448
finger-spin,0.5,0.000968,546,0.00137,0.000684,773,386,544,768,384
finger-spin,1.0,0.000829,472,0.00117,0.000587,668,334,480,672,336
finger-spin,2.0,0.000711,408,0.00101,0.000503,577,288,416,576,288
finger-spin,4.0,0.000609,353,0.000861,0.000431,499,249,352,496,256
finger-spin,8.0,0.000522,305,0.000738,0.000369,431,215,304,432,208
finger-spin,16.0,0.000447,264,0.000633,0.000316,373,186,256,368,192
humanoid-stand,0.25,0.00134,1000,0.0019,0.000948,1414,707,992,1408,704
humanoid-stand,0.5,0.000903,697,0.00128,0.000638,987,493,704,992,496
humanoid-stand,1.0,0.000608,486,0.00086,0.00043,688,344,480,688,352
humanoid-stand,2.0,0.000409,339,0.000579,0.00029,480,240,336,480,240
humanoid-stand,4.0,0.000276,236,0.00039,0.000195,335,167,240,336,160
humanoid-stand,8.0,0.000186,165,0.000263,0.000131,233,116,160,240,112
humanoid-stand,16.0,0.000125,115,0.000177,8.84e-05,163,81,112,160,80
quadruped-walk,0.25,0.00148,603,0.00209,0.00105,853,426,608,848,432
quadruped-walk,0.5,0.00117,512,0.00165,0.000826,724,362,512,720,368
quadruped-walk,1.0,0.000924,434,0.00131,0.000653,614,307,432,608,304
quadruped-walk,2.0,0.00073,368,0.00103,0.000516,521,260,368,528,256
quadruped-walk,4.0,0.000577,312,0.000816,0.000408,442,221,320,448,224
quadruped-walk,8.0,0.000456,265,0.000645,0.000323,374,187,272,368,192
quadruped-walk,16.0,0.000361,224,0.00051,0.000255,318,159,224,320,160
walker-walk,0.25,0.00113,1486,0.00159,0.000797,2101,1050,1488,2096,1056
walker-walk,0.5,0.00101,802,0.00143,0.000715,1134,567,800,1136,560
walker-walk,1.0,0.000908,433,0.00128,0.000642,612,306,432,608,304
walker-walk,2.0,0.000815,233,0.00115,0.000576,330,165,240,336,160
walker-walk,4.0,0.000731,126,0.00103,0.000517,178,89,128,176,96
walker-walk,8.0,0.000656,68,0.000928,0.000464,96,48,64,96,48
walker-walk,16.0,0.000589,36,0.000833,0.000416,51,25,32,48,32
