Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.00121,0.00172,0.000858,1006,1422,711,1008,1424,704
cartpole-swingup,0.5,0.000976,0.00138,0.00069,723,1022,511,720,1024,512
cartpole-swingup,1.0,0.000784,0.00111,0.000554,519,734,367,512,736,368
cartpole-swingup,2.0,0.00063,0.000891,0.000446,373,528,264,368,528,256
cartpole-swingup,4.0,0.000507,0.000716,0.000358,268,379,190,272,384,192
cartpole-swingup,8.0,0.000407,0.000576,0.000288,193,272,136,192,272,128
cartpole-swingup,16.0,0.000327,0.000463,0.000231,138,196,98,144,192,96
cartpole-swingup,32.0,0.000263,0.000372,0.000186,99,141,70,96,144,64
cartpole-swingup,64.0,0.000211,0.000299,0.000149,71,101,51,64,96,48
cartpole-swingup,128.0,0.00017,0.00024,0.00012,51,73,36,48,80,32
cheetah-run,0.25,0.00105,0.00149,0.000744,1102,1558,779,1104,1552,784
cheetah-run,0.5,0.000845,0.0012,0.000598,792,1120,560,800,1120,560
cheetah-run,1.0,0.000679,0.000961,0.00048,569,804,402,576,800,400
cheetah-run,2.0,0.000546,0.000772,0.000386,409,578,289,416,576,288
cheetah-run,4.0,0.000439,0.000621,0.00031,294,415,208,288,416,208
cheetah-run,8.0,0.000353,0.000499,0.000249,211,298,149,208,304,144
cheetah-run,16.0,0.000284,0.000401,0.000201,152,214,107,160,208,112
cheetah-run,32.0,0.000228,0.000322,0.000161,109,154,77,112,160,80
cheetah-run,64.0,0.000183,0.000259,0.00013,78,111,55,80,112,48
cheetah-run,128.0,0.000147,0.000208,0.000104,56,80,40,64,80,32
dog-stand,0.25,0.000812,0.00115,0.000574,244,344,172,240,352,176
dog-stand,0.5,0.000652,0.000923,0.000461,175,248,124,176,256,128
dog-stand,1.0,0.000524,0.000741,0.000371,126,178,89,128,176,96
dog-stand,2.0,0.000421,0.000596,0.000298,90,128,64,96,128,64
dog-stand,4.0,0.000339,0.000479,0.00024,65,92,46,64,96,48
dog-stand,8.0,0.000272,0.000385,0.000192,47,66,33,48,64,32
dog-stand,16.0,0.000219,0.000309,0.000155,34,47,24,32,48,32
dog-stand,32.0,0.000176,0.000249,0.000124,24,34,17,32,32,16
dog-stand,64.0,0.000141,0.0002,9.99e-05,17,24,12,16,32,16
dog-stand,128.0,0.000114,0.000161,8.03e-05,12,18,9,16,16,16
finger-spin,0.25,0.00144,0.00204,0.00102,1167,1651,825,1168,1648,832
finger-spin,0.5,0.00116,0.00164,0.00082,839,1186,593,832,1184,592
