Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,0.25,0.000223,0.000316,0.000158,639,903,452,640,896,448
Ant-v4,0.5,0.000183,0.000259,0.00013,515,729,364,512,736,368
Ant-v4,1.0,0.00015,0.000213,0.000106,416,588,294,416,592,288
Ant-v4,2.0,0.000123,0.000175,8.73e-05,336,475,237,336,480,240
Ant-v4,4.0,0.000101,0.000143,7.16e-05,271,383,191,272,384,192
Ant-v4,8.0,8.31e-05,0.000118,5.88e-05,218,309,154,224,304,160
Ant-v4,16.0,6.82e-05,9.65e-05,4.83e-05,176,249,125,176,256,128
HalfCheetah-v4,0.25,0.00278,0.00393,0.00196,633,895,448,640,896,448
HalfCheetah-v4,0.5,0.00228,0.00322,0.00161,511,722,361,512,720,368
HalfCheetah-v4,1.0,0.00187,0.00265,0.00132,412,583,291,416,576,288
HalfCheetah-v4,2.0,0.00154,0.00217,0.00109,332,470,235,336,464,240
HalfCheetah-v4,4.0,0.00126,0.00178,0.000891,268,379,190,272,384,192
HalfCheetah-v4,8.0,0.00103,0.00146,0.000732,216,306,153,224,304,160
HalfCheetah-v4,16.0,0.000849,0.0012,0.000601,175,247,123,176,240,128
Humanoid-v4,0.25,0.000283,0.0004,0.0002,481,680,340,480,672,336
Humanoid-v4,0.5,0.000232,0.000328,0.000164,388,549,274,384,544,272
Humanoid-v4,1.0,0.000191,0.000269,0.000135,313,443,221,320,448,224
Humanoid-v4,2.0,0.000156,0.000221,0.000111,253,357,179,256,352,176
Humanoid-v4,4.0,0.000128,0.000182,9.08e-05,204,288,144,208,288,144
Humanoid-v4,8.0,0.000105,0.000149,7.45e-05,164,233,116,160,240,112
Humanoid-v4,16.0,8.65e-05,0.000122,6.12e-05,133,188,94,128,192,96
Walker2d-v4,0.25,0.00122,0.00173,0.000865,496,701,351,496,704,352
Walker2d-v4,0.5,0.001,0.00142,0.00071,400,566,283,400,560,288
Walker2d-v4,1.0,0.000824,0.00117,0.000583,323,456,228,320,448,224
Walker2d-v4,2.0,0.000676,0.000956,0.000478,260,368,184,256,368,192
Walker2d-v4,4.0,0.000555,0.000785,0.000393,210,297,149,208,304,144
Walker2d-v4,8.0,0.000456,0.000644,0.000322,170,240,120,176,240,128
Walker2d-v4,16.0,0.000374,0.000529,0.000264,137,193,97,144,192,96
