Environment,UTD,Learning Rate,Batch Size,is_new_experiment
cartpole-swingup,0.25,0.00015,256,True
cartpole-swingup,0.5,0.00015,256,True
cartpole-swingup,1,0.00015,256,False
cartpole-swingup,2,0.00015,256,False
cartpole-swingup,4,0.00015,256,False
cartpole-swingup,8,0.00015,256,False
cartpole-swingup,16,0.00015,256,True
cartpole-swingup,32,0.00015,256,True
cartpole-swingup,64,0.00015,256,True
cartpole-swingup,128,0.00015,256,True
cartpole-swingup,256,0.00015,256,True
cheetah-run,0.25,0.0006,512,True
cheetah-run,0.5,0.0006,512,True
cheetah-run,1,0.0006,512,False
cheetah-run,2,0.0006,512,False
cheetah-run,4,0.0006,512,False
cheetah-run,8,0.0006,512,False
cheetah-run,16,0.0006,512,True
cheetah-run,32,0.0006,512,True
cheetah-run,64,0.0006,512,True
cheetah-run,128,0.0006,512,True
cheetah-run,256,0.0006,512,True
dog-stand,0.25,0.0003,64,True
dog-stand,0.5,0.0003,64,True
dog-stand,1,0.0003,64,False
dog-stand,2,0.0003,64,False
dog-stand,4,0.0003,64,False
dog-stand,8,0.0003,64,False
dog-stand,16,0.0003,64,True
dog-stand,32,0.0003,64,True
dog-stand,64,0.0003,64,True
dog-stand,128,0.0003,64,True
dog-stand,256,0.0003,64,True
finger-spin,0.25,0.0003,128,True
finger-spin,0.5,0.0003,128,True
finger-spin,1,0.0003,128,False
finger-spin,2,0.0003,128,False
finger-spin,4,0.0003,128,False
finger-spin,8,0.0003,128,False
finger-spin,16,0.0003,128,True
finger-spin,32,0.0003,128,True
finger-spin,64,0.0003,128,True
finger-spin,128,0.0003,128,True
finger-spin,256,0.0003,128,True
humanoid-stand,0.25,0.0003,64,True
humanoid-stand,0.5,0.0003,64,True
humanoid-stand,1,0.0003,64,False
humanoid-stand,2,0.0003,64,False
humanoid-stand,4,0.0003,64,False
humanoid-stand,8,0.0003,64,False
humanoid-stand,16,0.0003,64,True
humanoid-stand,32,0.0003,64,True
humanoid-stand,64,0.0003,64,True
humanoid-stand,128,0.0003,64,True
humanoid-stand,256,0.0003,64,True
quadruped-walk,0.25,0.00015,128,True
quadruped-walk,0.5,0.00015,128,True
quadruped-walk,1,0.00015,128,False
quadruped-walk,2,0.00015,128,False
quadruped-walk,4,0.00015,128,False
quadruped-walk,8,0.00015,128,False
quadruped-walk,16,0.00015,128,True
quadruped-walk,32,0.00015,128,True
quadruped-walk,64,0.00015,128,True
quadruped-walk,128,0.00015,128,True
quadruped-walk,256,0.00015,128,True
walker-walk,0.25,0.0003,128,True
walker-walk,0.5,0.0003,128,True
walker-walk,1,0.0003,128,False
walker-walk,2,0.0003,128,False
walker-walk,4,0.0003,128,False
walker-walk,8,0.0003,128,False
walker-walk,16,0.0003,128,True
walker-walk,32,0.0003,128,True
walker-walk,64,0.0003,128,True
walker-walk,128,0.0003,128,True
walker-walk,256,0.0003,128,True
