Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.00215,249,0.00304,0.00152,353,176,256,352,176
cartpole-swingup,0.5,0.00149,271,0.0021,0.00105,384,192,272,384,192
cartpole-swingup,1.0,0.00103,295,0.00145,0.000727,417,208,288,416,208
cartpole-swingup,2.0,0.000711,320,0.00101,0.000503,453,226,320,448,224
cartpole-swingup,4.0,0.000492,348,0.000696,0.000348,493,246,352,496,240
cartpole-swingup,8.0,0.00034,379,0.000481,0.000241,536,268,384,544,272
cartpole-swingup,16.0,0.000235,412,0.000333,0.000166,582,291,416,576,288
cartpole-swingup,32.0,0.000163,448,0.00023,0.000115,633,316,448,640,320
cartpole-swingup,64.0,0.000113,487,0.000159,7.96e-05,688,344,480,688,352
cartpole-swingup,128.0,7.79e-05,529,0.00011,5.51e-05,748,374,528,752,368
cartpole-swingup,256.0,5.39e-05,575,7.62e-05,3.81e-05,814,407,576,816,400
cheetah-run,0.25,0.000566,779,0.000801,0.0004,1102,551,784,1104,544
cheetah-run,0.5,0.000549,623,0.000776,0.000388,881,440,624,880,448
cheetah-run,1.0,0.000532,498,0.000752,0.000376,704,352,496,704,352
cheetah-run,2.0,0.000515,398,0.000729,0.000364,563,281,400,560,288
cheetah-run,4.0,0.000499,318,0.000706,0.000353,450,225,320,448,224
cheetah-run,8.0,0.000484,254,0.000684,0.000342,360,180,256,352,176
cheetah-run,16.0,0.000469,203,0.000663,0.000332,287,143,208,288,144
cheetah-run,32.0,0.000454,162,0.000643,0.000321,230,115,160,224,112
cheetah-run,64.0,0.00044,130,0.000623,0.000311,184,92,128,192,96
cheetah-run,128.0,0.000427,104,0.000604,0.000302,147,73,96,144,80
cheetah-run,256.0,0.000414,83,0.000585,0.000292,117,58,80,112,64
dog-stand,0.25,0.000632,563,0.000893,0.000447,796,398,560,800,400
dog-stand,0.5,0.000535,316,0.000757,0.000379,447,223,320,448,224
dog-stand,1.0,0.000454,177,0.000642,0.000321,251,125,176,256,128
dog-stand,2.0,0.000385,99,0.000544,0.000272,141,70,96,144,64
dog-stand,4.0,0.000326,56,0.000461,0.00023,79,39,64,80,32
dog-stand,8.0,0.000276,31,0.000391,0.000195,44,22,32,48,16
dog-stand,16.0,0.000234,17,0.000331,0.000166,25,12,16,32,16
dog-stand,32.0,0.000198,9,0.000281,0.00014,14,7,16,16,0
