Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.00121,1038,0.00172,0.000859,1468,734,1040,1472,736
cartpole-swingup,0.5,0.000973,740,0.00138,0.000688,1046,523,736,1040,528
cartpole-swingup,1.0,0.000779,527,0.0011,0.000551,746,373,528,752,368
cartpole-swingup,2.0,0.000624,376,0.000882,0.000441,532,266,384,528,272
cartpole-swingup,4.0,0.0005,268,0.000707,0.000353,379,189,272,384,192
cartpole-swingup,8.0,0.0004,191,0.000566,0.000283,270,135,192,272,128
cartpole-swingup,16.0,0.000321,136,0.000453,0.000227,192,96,128,192,96
cheetah-run,0.25,0.00107,1149,0.00152,0.000758,1625,812,1152,1632,816
cheetah-run,0.5,0.000859,819,0.00121,0.000607,1159,579,816,1152,576
cheetah-run,1.0,0.000688,584,0.000973,0.000486,826,413,576,832,416
cheetah-run,2.0,0.000551,416,0.000779,0.00039,589,294,416,592,288
cheetah-run,4.0,0.000441,297,0.000624,0.000312,420,210,304,416,208
cheetah-run,8.0,0.000353,211,0.0005,0.00025,299,149,208,304,144
cheetah-run,16.0,0.000283,151,0.0004,0.0002,213,106,144,208,112
dog-stand,0.25,0.000829,247,0.00117,0.000586,350,175,240,352,176
dog-stand,0.5,0.000664,176,0.000939,0.000469,249,124,176,256,128
dog-stand,1.0,0.000532,125,0.000752,0.000376,178,89,128,176,96
dog-stand,2.0,0.000426,89,0.000602,0.000301,127,63,96,128,64
dog-stand,4.0,0.000341,64,0.000482,0.000241,90,45,64,96,48
dog-stand,8.0,0.000273,45,0.000386,0.000193,64,32,48,64,32
dog-stand,16.0,0.000219,32,0.000309,0.000155,46,23,32,48,16
finger-spin,0.25,0.00147,1185,0.00208,0.00104,1676,838,1184,1680,832
finger-spin,0.5,0.00118,845,0.00167,0.000833,1195,597,848,1200,592
finger-spin,1.0,0.000944,602,0.00133,0.000667,852,426,608,848,432
finger-spin,2.0,0.000756,429,0.00107,0.000534,607,303,432,608,304
finger-spin,4.0,0.000605,306,0.000856,0.000428,433,216,304,432,224
finger-spin,8.0,0.000485,218,0.000686,0.000343,309,154,224,304,160
finger-spin,16.0,0.000388,155,0.000549,0.000275,220,110,160,224,112
humanoid-stand,0.25,0.000742,870,0.00105,0.000525,1230,615,864,1232,608
humanoid-stand,0.5,0.000594,620,0.00084,0.00042,877,438,624,880,432
humanoid-stand,1.0,0.000476,442,0.000673,0.000337,625,312,448,624,320
humanoid-stand,2.0,0.000381,315,0.000539,0.00027,446,223,320,448,224
humanoid-stand,4.0,0.000305,224,0.000432,0.000216,318,159,224,320,160
humanoid-stand,8.0,0.000245,160,0.000346,0.000173,226,113,160,224,112
humanoid-stand,16.0,0.000196,114,0.000277,0.000138,161,80,112,160,80
quadruped-walk,0.25,0.0014,1054,0.00197,0.000987,1491,745,1056,1488,752
quadruped-walk,0.5,0.00112,752,0.00158,0.00079,1063,531,752,1056,528
quadruped-walk,1.0,0.000895,536,0.00127,0.000633,758,379,544,752,384
quadruped-walk,2.0,0.000717,382,0.00101,0.000507,540,270,384,544,272
quadruped-walk,4.0,0.000574,272,0.000812,0.000406,385,192,272,384,192
quadruped-walk,8.0,0.00046,194,0.00065,0.000325,275,137,192,272,144
quadruped-walk,16.0,0.000368,138,0.000521,0.00026,196,98,144,192,96
walker-walk,0.25,0.0016,579,0.00226,0.00113,820,410,576,816,416
walker-walk,0.5,0.00128,413,0.00181,0.000904,584,292,416,576,288
walker-walk,1.0,0.00102,294,0.00145,0.000724,416,208,288,416,208
walker-walk,2.0,0.00082,210,0.00116,0.00058,297,148,208,304,144
walker-walk,4.0,0.000657,149,0.000929,0.000464,211,105,144,208,112
walker-walk,8.0,0.000526,106,0.000744,0.000372,151,75,112,144,80
walker-walk,16.0,0.000421,76,0.000596,0.000298,107,53,80,112,48
