Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,0.25,0.000273,952,0.000386,0.000193,1347,673,960,1344,672
Ant-v4,0.5,0.000207,670,0.000293,0.000146,948,474,672,944,480
Ant-v4,1.0,0.000157,472,0.000222,0.000111,667,333,480,672,336
Ant-v4,2.0,0.000119,332,0.000169,8.45e-05,470,235,336,464,240
Ant-v4,4.0,9.07e-05,234,0.000128,6.41e-05,331,165,240,336,160
Ant-v4,8.0,6.89e-05,164,9.74e-05,4.87e-05,233,116,160,240,112
Ant-v4,16.0,5.23e-05,116,7.4e-05,3.7e-05,164,82,112,160,80
Ant-v4,32.0,3.97e-05,81,5.62e-05,2.81e-05,115,57,80,112,64
Ant-v4,64.0,3.02e-05,57,4.27e-05,2.13e-05,81,40,64,80,32
Ant-v4,128.0,2.29e-05,40,3.24e-05,1.62e-05,57,28,32,64,32
Ant-v4,256.0,1.74e-05,28,2.46e-05,1.23e-05,40,20,32,32,16
Ant-v4,512.0,1.32e-05,20,1.87e-05,9.34e-06,28,14,16,32,16
Ant-v4,1024.0,1e-05,14,1.42e-05,7.09e-06,19,9,16,16,16
HalfCheetah-v4,0.25,0.00321,593,0.00454,0.00227,839,419,592,832,416
HalfCheetah-v4,0.5,0.0025,490,0.00354,0.00177,693,346,496,688,352
HalfCheetah-v4,1.0,0.00195,404,0.00276,0.00138,572,286,400,576,288
HalfCheetah-v4,2.0,0.00152,334,0.00215,0.00108,472,236,336,480,240
HalfCheetah-v4,4.0,0.00119,275,0.00168,0.000839,390,195,272,384,192
HalfCheetah-v4,8.0,0.000925,227,0.00131,0.000654,322,161,224,320,160
HalfCheetah-v4,16.0,0.000721,187,0.00102,0.00051,265,132,192,272,128
HalfCheetah-v4,32.0,0.000562,155,0.000795,0.000397,219,109,160,224,112
HalfCheetah-v4,64.0,0.000438,128,0.000619,0.00031,181,90,128,176,96
HalfCheetah-v4,128.0,0.000341,105,0.000483,0.000241,149,74,112,144,80
HalfCheetah-v4,256.0,0.000266,87,0.000376,0.000188,123,61,80,128,64
HalfCheetah-v4,512.0,0.000207,72,0.000293,0.000147,101,50,64,96,48
HalfCheetah-v4,1024.0,0.000162,59,0.000229,0.000114,84,42,64,80,48
Humanoid-v4,0.25,0.000298,485,0.000422,0.000211,687,343,480,688,336
Humanoid-v4,0.5,0.000243,392,0.000343,0.000172,554,277,384,560,272
Humanoid-v4,1.0,0.000198,316,0.000279,0.00014,447,223,320,448,224
Humanoid-v4,2.0,0.000161,255,0.000227,0.000114,360,180,256,352,176
Humanoid-v4,4.0,0.000131,205,0.000185,9.25e-05,291,145,208,288,144
Humanoid-v4,8.0,0.000106,166,0.000151,7.53e-05,235,117,160,240,112
Humanoid-v4,16.0,8.66e-05,134,0.000122,6.12e-05,189,94,128,192,96
Humanoid-v4,32.0,7.05e-05,108,9.97e-05,4.98e-05,153,76,112,160,80
Humanoid-v4,64.0,5.73e-05,87,8.11e-05,4.05e-05,123,61,80,128,64
Humanoid-v4,128.0,4.67e-05,70,6.6e-05,3.3e-05,99,49,64,96,48
Humanoid-v4,256.0,3.8e-05,56,5.37e-05,2.68e-05,80,40,64,80,32
Humanoid-v4,512.0,3.09e-05,45,4.37e-05,2.18e-05,64,32,48,64,32
Humanoid-v4,1024.0,2.51e-05,37,3.55e-05,1.78e-05,52,26,32,48,32
Walker2d-v4,0.25,0.000623,276,0.000882,0.000441,391,195,272,384,192
Walker2d-v4,0.5,0.000651,273,0.000921,0.00046,386,193,272,384,192
Walker2d-v4,1.0,0.00068,270,0.000961,0.000481,381,190,272,384,192
Walker2d-v4,2.0,0.00071,266,0.001,0.000502,377,188,272,384,192
Walker2d-v4,4.0,0.000741,263,0.00105,0.000524,372,186,256,368,192
Walker2d-v4,8.0,0.000774,260,0.00109,0.000547,368,184,256,368,192
Walker2d-v4,16.0,0.000808,257,0.00114,0.000571,363,181,256,368,176
Walker2d-v4,32.0,0.000844,253,0.00119,0.000596,359,179,256,352,176
Walker2d-v4,64.0,0.000881,250,0.00125,0.000623,354,177,256,352,176
Walker2d-v4,128.0,0.00092,247,0.0013,0.00065,350,175,240,352,176
Walker2d-v4,256.0,0.00096,244,0.00136,0.000679,346,173,240,352,176
Walker2d-v4,512.0,0.001,241,0.00142,0.000709,341,170,240,336,176
Walker2d-v4,1024.0,0.00105,238,0.00148,0.00074,337,168,240,336,160
