Environment,UTD,Learning Rate,Batch Size
cartpole-swingup,1,0.0006,512
cartpole-swingup,2,0.0006,512
cartpole-swingup,4,0.0006,512
cartpole-swingup,8,0.0006,512
cheetah-run,1,0.0003,256
cheetah-run,2,0.0003,256
cheetah-run,4,0.0003,256
cheetah-run,8,0.0003,256
dog-stand,1,0.0003,128
dog-stand,2,0.0003,128
dog-stand,4,0.0003,128
dog-stand,8,0.0003,128
finger-spin,1,0.012,512
finger-spin,2,0.012,512
finger-spin,4,0.012,512
finger-spin,8,0.012,512
humanoid-stand,1,0.00015,512
humanoid-stand,2,0.00015,512
humanoid-stand,4,0.00015,512
humanoid-stand,8,0.00015,512
quadruped-walk,1,0.0006,128
quadruped-walk,2,0.0006,128
quadruped-walk,4,0.0006,128
quadruped-walk,8,0.0006,128
walker-walk,1,0.0006,512
walker-walk,2,0.0006,512
walker-walk,4,0.0006,512
walker-walk,8,0.0006,512
