Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.000476,0.000674,0.000337,247,349,175,240,352,176
cartpole-swingup,0.5,0.000495,0.000701,0.00035,247,349,175,240,352,176
cartpole-swingup,1.0,0.000515,0.000729,0.000364,247,349,175,240,352,176
cartpole-swingup,2.0,0.000535,0.000756,0.000378,247,349,174,240,352,176
cartpole-swingup,4.0,0.000556,0.000786,0.000393,247,349,174,240,352,176
cartpole-swingup,8.0,0.000577,0.000816,0.000408,247,349,174,240,352,176
cartpole-swingup,16.0,0.000599,0.000847,0.000423,246,349,174,240,352,176
cheetah-run,0.25,0.000439,0.000621,0.000311,201,284,142,208,288,144
cheetah-run,0.5,0.000457,0.000646,0.000323,201,284,142,208,288,144
cheetah-run,1.0,0.000475,0.000672,0.000336,200,283,142,192,288,144
cheetah-run,2.0,0.000493,0.000697,0.000349,200,283,142,192,288,144
cheetah-run,4.0,0.000513,0.000725,0.000363,200,283,142,192,288,144
cheetah-run,8.0,0.000532,0.000753,0.000376,200,283,142,192,288,144
cheetah-run,16.0,0.000552,0.000781,0.00039,200,283,142,192,288,144
dog-stand,0.25,0.000499,0.000705,0.000353,112,159,79,112,160,80
dog-stand,0.5,0.000519,0.000733,0.000367,112,159,79,112,160,80
dog-stand,1.0,0.000539,0.000763,0.000381,112,159,79,112,160,80
dog-stand,2.0,0.00056,0.000791,0.000396,112,159,79,112,160,80
dog-stand,4.0,0.000582,0.000823,0.000412,112,159,79,112,160,80
dog-stand,8.0,0.000604,0.000854,0.000427,112,158,79,112,160,80
dog-stand,16.0,0.000627,0.000886,0.000443,112,158,79,112,160,80
finger-spin,0.25,0.000494,0.000699,0.000349,227,321,161,224,320,160
finger-spin,0.5,0.000514,0.000727,0.000363,227,321,160,224,320,160
finger-spin,1.0,0.000535,0.000756,0.000378,227,321,160,224,320,160
finger-spin,2.0,0.000555,0.000785,0.000392,227,321,160,224,320,160
finger-spin,4.0,0.000577,0.000816,0.000408,227,321,160,224,320,160
finger-spin,8.0,0.000599,0.000847,0.000423,227,320,160,224,320,160
finger-spin,16.0,0.000621,0.000879,0.000439,226,320,160,224,320,160
humanoid-stand,0.25,0.000533,0.000753,0.000377,184,260,130,192,256,128
humanoid-stand,0.5,0.000554,0.000784,0.000392,184,260,130,192,256,128
humanoid-stand,1.0,0.000576,0.000815,0.000407,184,260,130,192,256,128
humanoid-stand,2.0,0.000598,0.000846,0.000423,183,259,130,176,256,128
humanoid-stand,4.0,0.000622,0.000879,0.00044,183,259,130,176,256,128
humanoid-stand,8.0,0.000645,0.000913,0.000456,183,259,130,176,256,128
humanoid-stand,16.0,0.00067,0.000947,0.000473,183,259,130,176,256,128
quadruped-walk,0.25,0.000494,0.000698,0.000349,221,313,156,224,320,160
quadruped-walk,0.5,0.000514,0.000726,0.000363,221,313,156,224,320,160
quadruped-walk,1.0,0.000534,0.000756,0.000378,221,312,156,224,320,160
quadruped-walk,2.0,0.000554,0.000784,0.000392,221,312,156,224,320,160
quadruped-walk,4.0,0.000577,0.000815,0.000408,221,312,156,224,320,160
quadruped-walk,8.0,0.000598,0.000846,0.000423,221,312,156,224,320,160
quadruped-walk,16.0,0.000621,0.000878,0.000439,221,312,156,224,320,160
walker-walk,0.25,0.000511,0.000722,0.000361,200,282,141,192,288,144
walker-walk,0.5,0.000531,0.000751,0.000376,199,282,141,192,288,144
walker-walk,1.0,0.000552,0.000781,0.000391,199,282,141,192,288,144
walker-walk,2.0,0.000573,0.000811,0.000405,199,282,141,192,288,144
walker-walk,4.0,0.000596,0.000843,0.000421,199,282,141,192,288,144
walker-walk,8.0,0.000619,0.000875,0.000437,199,282,141,192,288,144
walker-walk,16.0,0.000642,0.000908,0.000454,199,282,141,192,288,144
