Environment,UTD,Learning Rate,Learning Rate x√2,Learning Rate x√0.5,Batch Size,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,1.0,0.000223,0.000316,0.000158,639,903,452,640,896,448
Ant-v4,2.0,0.000183,0.000259,0.00013,515,729,364,512,736,368
Ant-v4,4.0,0.00015,0.000213,0.000106,416,588,294,416,592,288
Ant-v4,8.0,0.000123,0.000175,8.73e-05,336,475,237,336,480,240
Ant-v4,1.0,0.000223,0.000316,0.000158,639,903,452,640,896,448
Ant-v4,2.0,0.000183,0.000259,0.00013,515,729,364,512,736,368
Ant-v4,4.0,0.00015,0.000213,0.000106,416,588,294,416,592,288
Ant-v4,8.0,0.000123,0.000175,8.73e-05,336,475,237,336,480,240
Ant-v4,1.0,0.000223,0.000316,0.000158,639,903,452,640,896,448
Ant-v4,2.0,0.000183,0.000259,0.00013,515,729,364,512,736,368
Ant-v4,4.0,0.00015,0.000213,0.000106,416,588,294,416,592,288
Ant-v4,8.0,0.000123,0.000175,8.73e-05,336,475,237,336,480,240
Ant-v4,1.0,0.000223,0.000316,0.000158,639,903,452,640,896,448
Ant-v4,2.0,0.000183,0.000259,0.00013,515,729,364,512,736,368
Ant-v4,4.0,0.00015,0.000213,0.000106,416,588,294,416,592,288
Ant-v4,8.0,0.000123,0.000175,8.73e-05,336,475,237,336,480,240
HalfCheetah-v4,1.0,0.00278,0.00393,0.00196,633,895,448,640,896,448
HalfCheetah-v4,2.0,0.00228,0.00322,0.00161,511,722,361,512,720,368
HalfCheetah-v4,4.0,0.00187,0.00265,0.00132,412,583,291,416,576,288
HalfCheetah-v4,8.0,0.00154,0.00217,0.00109,332,470,235,336,464,240
HalfCheetah-v4,1.0,0.00278,0.00393,0.00196,633,895,448,640,896,448
HalfCheetah-v4,2.0,0.00228,0.00322,0.00161,511,722,361,512,720,368
HalfCheetah-v4,4.0,0.00187,0.00265,0.00132,412,583,291,416,576,288
HalfCheetah-v4,8.0,0.00154,0.00217,0.00109,332,470,235,336,464,240
HalfCheetah-v4,1.0,0.00278,0.00393,0.00196,633,895,448,640,896,448
HalfCheetah-v4,2.0,0.00228,0.00322,0.00161,511,722,361,512,720,368
HalfCheetah-v4,4.0,0.00187,0.00265,0.00132,412,583,291,416,576,288
HalfCheetah-v4,8.0,0.00154,0.00217,0.00109,332,470,235,336,464,240
HalfCheetah-v4,1.0,0.00278,0.00393,0.00196,633,895,448,640,896,448
HalfCheetah-v4,2.0,0.00228,0.00322,0.00161,511,722,361,512,720,368
HalfCheetah-v4,4.0,0.00187,0.00265,0.00132,412,583,291,416,576,288
HalfCheetah-v4,8.0,0.00154,0.00217,0.00109,332,470,235,336,464,240
Humanoid-v4,1.0,0.000283,0.0004,0.0002,481,680,340,480,672,336
Humanoid-v4,2.0,0.000232,0.000328,0.000164,388,549,274,384,544,272
Humanoid-v4,4.0,0.000191,0.000269,0.000135,313,443,221,320,448,224
Humanoid-v4,8.0,0.000156,0.000221,0.000111,253,357,179,256,352,176
Humanoid-v4,1.0,0.000283,0.0004,0.0002,481,680,340,480,672,336
Humanoid-v4,2.0,0.000232,0.000328,0.000164,388,549,274,384,544,272
Humanoid-v4,4.0,0.000191,0.000269,0.000135,313,443,221,320,448,224
Humanoid-v4,8.0,0.000156,0.000221,0.000111,253,357,179,256,352,176
Humanoid-v4,1.0,0.000283,0.0004,0.0002,481,680,340,480,672,336
Humanoid-v4,2.0,0.000232,0.000328,0.000164,388,549,274,384,544,272
Humanoid-v4,4.0,0.000191,0.000269,0.000135,313,443,221,320,448,224
Humanoid-v4,8.0,0.000156,0.000221,0.000111,253,357,179,256,352,176
Humanoid-v4,1.0,0.000283,0.0004,0.0002,481,680,340,480,672,336
Humanoid-v4,2.0,0.000232,0.000328,0.000164,388,549,274,384,544,272
Humanoid-v4,4.0,0.000191,0.000269,0.000135,313,443,221,320,448,224
Humanoid-v4,8.0,0.000156,0.000221,0.000111,253,357,179,256,352,176
Walker2d-v4,1.0,0.00122,0.00173,0.000865,496,701,351,496,704,352
Walker2d-v4,2.0,0.001,0.00142,0.00071,400,566,283,400,560,288
Walker2d-v4,4.0,0.000824,0.00117,0.000583,323,456,228,320,448,224
Walker2d-v4,8.0,0.000676,0.000956,0.000478,260,368,184,256,368,192
Walker2d-v4,1.0,0.00122,0.00173,0.000865,496,701,351,496,704,352
Walker2d-v4,2.0,0.001,0.00142,0.00071,400,566,283,400,560,288
Walker2d-v4,4.0,0.000824,0.00117,0.000583,323,456,228,320,448,224
Walker2d-v4,8.0,0.000676,0.000956,0.000478,260,368,184,256,368,192
Walker2d-v4,1.0,0.00122,0.00173,0.000865,496,701,351,496,704,352
Walker2d-v4,2.0,0.001,0.00142,0.00071,400,566,283,400,560,288
Walker2d-v4,4.0,0.000824,0.00117,0.000583,323,456,228,320,448,224
Walker2d-v4,8.0,0.000676,0.000956,0.000478,260,368,184,256,368,192
Walker2d-v4,1.0,0.00122,0.00173,0.000865,496,701,351,496,704,352
Walker2d-v4,2.0,0.001,0.00142,0.00071,400,566,283,400,560,288
Walker2d-v4,4.0,0.000824,0.00117,0.000583,323,456,228,320,448,224
Walker2d-v4,8.0,0.000676,0.000956,0.000478,260,368,184,256,368,192
